Segundo o tratado assinado em 1971, que região do planeta ficou interdita a armas nucleares?,Antártida,Sara,África,Bahamas
Que matemático e geógrafo grego calculou o perímetro da Terra em 240 a.C.?,Eratóstenes,Sócrates,Sófocles,Descartes
Por que nome se tornou mais conhecido o escritor norte-americano Samuel Langhorne Clemens?,Mark Twain,Paul Auster,Paulo Coelho,Nicolau Gogol
Que expressão alemã significa “guerra-relâmpago”?,Blitzkrieg,Sauerkraut,Glasnost,Reichstag
Como se chamou o Sporting Club de Portugal entre 1904 e 1906?,Campo Grande Football Club,Sporting de Portugal,Não teve nome,Leões da Estrela
Junto a que cidade do Novo México se julga ter caído um OVNI em 1947?,Roswell,Tijuana,Chihuahua,Las Vegas
"Em Portugal, a que cidadãos foi retirado o direito de voto em 1913?",Analfabetos,Mulheres,Emigrantes,Idosos
Qual é o mais famoso detetive criado por Raymond Chandler?,Philip Marlowe,Hercule Poirot,Sherlock Holmes,Agatha Christie
Em que atividade se destacou La Corbusier?,Arquitetura,Cinema,Teatro,Literatura
Que parque natural na região de Bragança foi criado em 1979?,Montesinho,Peneda-Gerês,Alto Douro,Arrábida
Como se chama a personagem principal do filme Touro Enraivecido?,Jake La Motta,Sugar Ray Robinson,Belarmino,Muhamad Ali
Quanto tempo demora a Lua a dar a volta à Terra (período orbital)?,27 dias e 8 horas,25 dias,30 dias,29 dias e 12 horas
Quem recebeu um prémio Nobel devido ao desenvolvimento da encefalografia arterial?,Egas Moniz,Júlio de Matos,Michael Faraday,Sousa Martins
Que eletrodoméstico foi criado por Murray Spangler em 1907 e que ainda hoje é vendido praticamente inalterado?,Aspirador,Esquentador,Torradeira,Micro-ondas
Que modalidade desportiva foi introduzida em Portugal Continental em 1888 por Guilherme Pinto Basto?,Futebol,Corfebol,Andebol,Ténis
Qual é o objeto de estudo do puericultor?,Crianças,Coelhos,Abelhas,Galinhas
Que país sul-americano é o maior produtor de vinho?,Argentina,Brasil,Venezuela,Canadá
Quem comandou a segunda invasão napoleónica em Portugal?,Soult,Napoleão,Junot,Wellington
Qual é a corrente filosófica defendida por Martin Heidegger?,Existencialismo,Positivismo,Niilismo,Abstracionismo
Que corpo militar de elite foi criado em França por Luís XIII como guarda pessoal em 1922 e existiu até 1815?,Mosqueteiros,Guarda Suíça,Rangers,Escuteiros
O que mudou na personagem Lucky Luke em 1983?,Deixou de fumar,Começou a usar óculos,Tornou-se vegetariano,Deixou de usar armas
Qual foi a primeira moeda a ser usada em toda a Europa Ocidental?,Sestércio,ECU,Euro,Dracma
Quem escreveu A Arte da Guerra?,Sun Tzu,Confúcio,Gandhi,Mao Tsé Tung
Que expressão náutica foi sugerida por Alexander Bell para ser usada quando se atende o telefone?,Ahoy,Over,Hi,All aboard
Que palavra de origem inuíte significa casa?,Iglu,Quiosque,Caiaque,Anoraque
